t_inf	y_d
5978	1.40
5983	1.42
5988	1.51
5993	1.15
5998	1.26
6003	1.79
6008	2.23
6013	1.90
6018	1.72
6023	1.64
6028	1.75
6033	1.73
6038	1.34
6043	1.52
6048	1.50
6053	1.63
6058	1.42
6063	1.54
6068	1.27
6073	1.47
6078	1.48
6083	1.79
6088	2.11
6093	1.44
6098	1.41
6103	1.81
6108	1.56
6113	1.63
6118	1.62
6123	1.60
6128	1.58
6133	1.89
6138	1.99
6143	1.69
6148	2.02
6153	1.84
6158	1.57
6163	1.53
6168	1.65
6173	1.62
6178	1.60
6183	1.90
6188	1.79
6193	1.76
6198	1.75
6203	1.96
6208	2.40
6213	2.15
6218	2.02
6223	1.99
6228	1.90
6233	1.71
6238	1.68
6243	1.50
6248	1.51
6253	1.56
6258	1.52
6263	1.60
6268	1.65
6273	1.55
6278	1.69
6283	1.67
6288	2.08
6293	2.23
6298	2.34
6303	2.13
6308	1.92
6313	1.91
6318	1.85
6323	1.73
6328	1.71
6333	1.77
6338	2.02
6343	1.83
6348	1.70
6353	1.72
6358	1.73
6363	1.75
6368	1.72
6373	1.70
6378	1.86
6383	1.80
6388	1.52
6393	1.21
6398	1.40
6403	1.57
6408	1.85
6413	1.86
6418	1.61
6423	2.11
6428	1.95
6433	1.44
6438	1.44
6443	1.41
6448	1.86
6453	1.68
6458	1.79
6463	1.85
6468	1.85
6473	1.85
6478	1.93
6483	1.53
6488	1.49
6493	1.42
6498	1.46
6503	1.55
6508	1.89
6513	1.93
6518	1.79
6523	1.73
6528	1.41
6533	1.43
6538	1.46
6543	1.71
6548	1.86
6553	1.76
6558	1.39
6563	1.60
6568	1.79
6573	1.42
6578	1.40
6583	2.92
6588	1.57
6593	1.28
6598	1.47
6603	1.43
6608	1.28
6613	1.23
6618	1.45
6623	1.64
6628	1.42
6633	1.59
6638	1.55
6643	1.61
6648	1.57
6653	1.52
6658	1.85
6663	2.13
6668	1.94
6673	1.62
6678	1.60
6683	1.64
6688	1.67
6693	1.58
6698	1.79
6703	1.25
6708	1.44
6713	1.62
6718	1.28
6723	1.42
6728	1.59
6733	1.51
6738	1.45
6743	1.37
6748	1.56
6753	1.64
6758	1.64
6763	1.42
6768	1.33
6773	1.34
6778	1.37
6783	1.34
6788	1.62
6793	1.63
6798	1.43
6803	1.95
6808	1.46
6813	1.52
6818	1.62
6823	1.45
6828	1.56
6833	1.45
6838	1.29
6843	1.41
6848	1.83
6853	2.01
6858	1.79
6863	1.74
6868	1.85
6873	1.75
6878	1.87
6883	1.80
6888	1.37
6893	1.67
6898	1.90
6903	1.75
6908	2.39
6913	2.17
6918	2.05
6923	1.83
6928	1.67
6933	1.81
6938	1.67
6943	1.76
6948	1.67
6953	1.72
6958	2.07
6963	2.15
6968	2.26
6973	1.77
6978	1.88
6983	1.94
6988	1.46
6993	1.32
6998	1.57
7003	1.77
7008	1.77
7013	1.75
7018	1.52
7023	1.65
7028	1.56
7033	1.97
7038	1.77
7043	1.67
7048	1.58
7053	1.59
7058	1.50
7063	2.25
7068	1.69
7073	1.45
7078	1.38
7083	1.65
7088	1.66
7093	1.73
7098	1.41
7103	1.54
7108	1.53
7113	1.53
7118	1.52
7123	1.52
7128	1.72
7133	1.71
7138	1.46
7143	1.60
7148	1.30
7153	1.75
7158	1.93
7163	2.00
7168	2.27
7173	2.27
7178	2.20
7183	2.19
7188	1.98
7193	1.81
7198	1.69
7203	1.62
7208	1.69
7213	1.57
7218	2.07
7223	1.52
7228	2.26
7233	2.17
7238	1.57
7243	1.58
7248	1.72
7253	1.81
7258	1.95
7263	2.05
7268	2.12
7273	2.13
7278	2.31
7283	2.21
7288	2.34
7293	1.74
7298	1.75
7303	1.74
7308	1.80
7313	1.70
7318	1.77
7323	2.09
7328	2.03
7333	1.70
7338	1.82
7343	2.01
7348	1.70
7353	1.46
7358	1.76
7363	1.43
7368	1.91
7373	1.74
7378	2.54
7383	1.44
7388	1.97
7393	1.80
7398	1.57
7403	1.48
7408	1.83
7413	1.91
7418	1.84
7423	1.80
7428	2.15
7433	2.48
7438	2.24
7443	1.61
7448	1.64
7453	1.52
7458	1.47
7463	1.58
7468	1.48
7473	1.31
7478	1.60
7483	1.98
7488	1.97
7493	1.43
7498	1.84
7503	1.49
7508	1.64
7513	1.59
7518	1.45
7523	1.76
7528	2.32
7533	1.96
7538	1.38
7543	1.60
7548	1.66
7553	1.59
7558	1.62
7563	1.79
7568	2.02
7573	2.01
7578	1.91
7583	1.82
7588	1.73
7593	1.65
7598	1.60
7603	1.57
7608	1.75
7613	2.09
7618	1.66
7623	1.68
7628	1.72
7633	1.73
7638	1.45
7643	1.82
